version,date,num_downloads
0.8.0.post0,2024-04-04 00:00:00+00:00,9
0.8.0.post0,2024-04-05 00:00:00+00:00,9
0.8.0.post0,2024-04-06 00:00:00+00:00,2
0.8.0.post0,2024-04-07 00:00:00+00:00,5
0.8.0.post0,2024-04-08 00:00:00+00:00,18
0.8.0.post0,2024-04-11 00:00:00+00:00,3
0.8.0.post0,2024-04-12 00:00:00+00:00,2
0.8.0.post0,2024-04-13 00:00:00+00:00,4
0.8.0.post0,2024-04-14 00:00:00+00:00,1
0.8.0.post0,2024-04-15 00:00:00+00:00,2
0.8.0.post0,2024-04-16 00:00:00+00:00,2
0.8.0.post0,2024-04-17 00:00:00+00:00,5
0.8.0.post0,2024-04-18 00:00:00+00:00,14
0.8.0.post0,2024-04-19 00:00:00+00:00,3
0.8.0.post0,2024-04-20 00:00:00+00:00,2
0.8.0.post0,2024-04-23 00:00:00+00:00,37
0.8.0.post0,2024-04-24 00:00:00+00:00,25
0.8.0.post0,2024-04-25 00:00:00+00:00,22
0.8.0.post0,2024-04-26 00:00:00+00:00,13
0.8.0.post0,2024-04-27 00:00:00+00:00,1
0.8.0.post0,2024-04-29 00:00:00+00:00,2
0.8.0.post0,2024-04-30 00:00:00+00:00,6
0.8.0.post0,2024-05-01 00:00:00+00:00,57
0.8.0.post0,2024-05-02 00:00:00+00:00,35
0.8.0.post0,2024-05-03 00:00:00+00:00,68
0.8.0,2024-04-04 00:00:00+00:00,7
0.8.0,2024-04-05 00:00:00+00:00,2
0.8.0,2024-04-08 00:00:00+00:00,6
0.8.0,2024-04-14 00:00:00+00:00,1
0.8.0,2024-04-16 00:00:00+00:00,5
0.8.0,2024-04-17 00:00:00+00:00,4
0.8.0,2024-04-18 00:00:00+00:00,1
0.8.0,2024-04-23 00:00:00+00:00,8
0.8.0,2024-04-25 00:00:00+00:00,2
0.8.0,2024-04-30 00:00:00+00:00,2
0.8.0,2024-05-01 00:00:00+00:00,27
0.8.0,2024-05-02 00:00:00+00:00,17
0.8.0,2024-05-03 00:00:00+00:00,7
0.7.1,2024-04-04 00:00:00+00:00,4
0.7.1,2024-04-05 00:00:00+00:00,2
0.7.1,2024-04-08 00:00:00+00:00,7
0.7.1,2024-04-09 00:00:00+00:00,6
0.7.1,2024-04-10 00:00:00+00:00,5
0.7.1,2024-04-11 00:00:00+00:00,3
0.7.1,2024-04-12 00:00:00+00:00,4
0.7.1,2024-04-17 00:00:00+00:00,4
0.7.1,2024-04-23 00:00:00+00:00,10
0.7.1,2024-04-24 00:00:00+00:00,9
0.7.1,2024-04-25 00:00:00+00:00,4
0.7.1,2024-04-26 00:00:00+00:00,4
0.7.1,2024-04-29 00:00:00+00:00,3
0.7.1,2024-04-30 00:00:00+00:00,13
0.7.1,2024-05-01 00:00:00+00:00,78
0.7.1,2024-05-02 00:00:00+00:00,62
0.7.1,2024-05-03 00:00:00+00:00,29
0.7.0,2024-04-04 00:00:00+00:00,127
0.7.0,2024-04-05 00:00:00+00:00,111
0.7.0,2024-04-06 00:00:00+00:00,91
0.7.0,2024-04-07 00:00:00+00:00,34
0.7.0,2024-04-08 00:00:00+00:00,137
0.7.0,2024-04-09 00:00:00+00:00,72
0.7.0,2024-04-10 00:00:00+00:00,13
0.7.0,2024-04-11 00:00:00+00:00,13
0.7.0,2024-04-12 00:00:00+00:00,26
0.7.0,2024-04-13 00:00:00+00:00,2
0.7.0,2024-04-14 00:00:00+00:00,2
0.7.0,2024-04-15 00:00:00+00:00,14
0.7.0,2024-04-16 00:00:00+00:00,80
0.7.0,2024-04-17 00:00:00+00:00,79
0.7.0,2024-04-18 00:00:00+00:00,100
0.7.0,2024-04-19 00:00:00+00:00,52
0.7.0,2024-04-20 00:00:00+00:00,94
0.7.0,2024-04-21 00:00:00+00:00,65
0.7.0,2024-04-22 00:00:00+00:00,116
0.7.0,2024-04-23 00:00:00+00:00,132
0.7.0,2024-04-24 00:00:00+00:00,130
0.7.0,2024-04-25 00:00:00+00:00,102
0.7.0,2024-04-26 00:00:00+00:00,20
0.7.0,2024-04-27 00:00:00+00:00,12
0.7.0,2024-04-28 00:00:00+00:00,18
