version,date,num_downloads
0.7.1,2024-02-29 00:00:00+00:00,124
0.7.1,2024-03-01 00:00:00+00:00,15
0.7.1,2024-03-02 00:00:00+00:00,9
0.7.1,2024-03-03 00:00:00+00:00,14
0.7.1,2024-03-04 00:00:00+00:00,20
0.7.1,2024-03-05 00:00:00+00:00,11
0.7.0,2024-02-05 00:00:00+00:00,21
0.7.0,2024-02-06 00:00:00+00:00,18
0.7.0,2024-02-07 00:00:00+00:00,11
0.7.0,2024-02-08 00:00:00+00:00,51
0.7.0,2024-02-09 00:00:00+00:00,94
0.7.0,2024-02-10 00:00:00+00:00,12
0.7.0,2024-02-11 00:00:00+00:00,32
0.7.0,2024-02-12 00:00:00+00:00,160
0.7.0,2024-02-13 00:00:00+00:00,96
0.7.0,2024-02-14 00:00:00+00:00,127
0.7.0,2024-02-15 00:00:00+00:00,603
0.7.0,2024-02-16 00:00:00+00:00,826
0.7.0,2024-02-17 00:00:00+00:00,153
0.7.0,2024-02-18 00:00:00+00:00,238
0.7.0,2024-02-19 00:00:00+00:00,122
0.7.0,2024-02-20 00:00:00+00:00,31
0.7.0,2024-02-21 00:00:00+00:00,61
0.7.0,2024-02-22 00:00:00+00:00,16
0.7.0,2024-02-23 00:00:00+00:00,8
0.7.0,2024-02-24 00:00:00+00:00,5
0.7.0,2024-02-25 00:00:00+00:00,3
0.7.0,2024-02-26 00:00:00+00:00,8
0.7.0,2024-02-27 00:00:00+00:00,19
0.7.0,2024-02-28 00:00:00+00:00,62
0.7.0,2024-02-29 00:00:00+00:00,37
0.7.0,2024-03-01 00:00:00+00:00,11
0.7.0,2024-03-02 00:00:00+00:00,1
0.7.0,2024-03-03 00:00:00+00:00,2
0.7.0,2024-03-04 00:00:00+00:00,2
0.7.0,2024-03-05 00:00:00+00:00,8
0.6.1,2024-02-05 00:00:00+00:00,45
0.6.1,2024-02-06 00:00:00+00:00,54
0.6.1,2024-02-07 00:00:00+00:00,14
0.6.1,2024-02-08 00:00:00+00:00,48
0.6.1,2024-02-09 00:00:00+00:00,36
0.6.1,2024-02-10 00:00:00+00:00,1
0.6.1,2024-02-11 00:00:00+00:00,18
0.6.1,2024-02-12 00:00:00+00:00,45
0.6.1,2024-02-13 00:00:00+00:00,30
0.6.1,2024-02-14 00:00:00+00:00,54
0.6.1,2024-02-15 00:00:00+00:00,73
0.6.1,2024-02-16 00:00:00+00:00,85
0.6.1,2024-02-17 00:00:00+00:00,6
0.6.1,2024-02-18 00:00:00+00:00,2
0.6.1,2024-02-19 00:00:00+00:00,44
0.6.1,2024-02-20 00:00:00+00:00,60
0.6.1,2024-02-22 00:00:00+00:00,27
0.6.1,2024-02-23 00:00:00+00:00,45
0.6.1,2024-02-24 00:00:00+00:00,4
0.6.1,2024-02-25 00:00:00+00:00,2
0.6.1,2024-02-26 00:00:00+00:00,61
0.6.1,2024-02-27 00:00:00+00:00,80
0.6.1,2024-02-28 00:00:00+00:00,108
0.6.1,2024-02-29 00:00:00+00:00,58
0.6.1,2024-03-01 00:00:00+00:00,4
0.6.1,2024-03-03 00:00:00+00:00,2
0.6.1,2024-03-04 00:00:00+00:00,15
0.6.1,2024-03-05 00:00:00+00:00,11
0.6.0,2024-02-05 00:00:00+00:00,22
0.6.0,2024-02-06 00:00:00+00:00,11
0.6.0,2024-02-07 00:00:00+00:00,4
0.6.0,2024-02-08 00:00:00+00:00,15
0.6.0,2024-02-09 00:00:00+00:00,8
0.6.0,2024-02-10 00:00:00+00:00,10
0.6.0,2024-02-11 00:00:00+00:00,2
0.6.0,2024-02-12 00:00:00+00:00,9
0.6.0,2024-02-14 00:00:00+00:00,40
0.6.0,2024-02-15 00:00:00+00:00,70
0.6.0,2024-02-16 00:00:00+00:00,14
0.6.0,2024-02-17 00:00:00+00:00,4
0.6.0,2024-02-19 00:00:00+00:00,12
0.6.0,2024-02-20 00:00:00+00:00,6
0.6.0,2024-02-22 00:00:00+00:00,2
0.6.0,2024-02-23 00:00:00+00:00,12
0.6.0,2024-02-24 00:00:00+00:00,4
0.6.0,2024-02-25 00:00:00+00:00,2
0.6.0,2024-02-26 00:00:00+00:00,4
0.6.0,2024-02-27 00:00:00+00:00,2
0.6.0,2024-02-28 00:00:00+00:00,5
0.6.0,2024-02-29 00:00:00+00:00,1
0.6.0,2024-03-01 00:00:00+00:00,2
0.6.0,2024-03-03 00:00:00+00:00,2
0.6.0,2024-03-04 00:00:00+00:00,2
0.6.0,2024-03-05 00:00:00+00:00,2
0.5.0,2024-02-07 00:00:00+00:00,2
0.5.0,2024-02-08 00:00:00+00:00,5
0.5.0,2024-02-09 00:00:00+00:00,7
0.5.0,2024-02-11 00:00:00+00:00,2
0.5.0,2024-02-13 00:00:00+00:00,6
0.5.0,2024-02-16 00:00:00+00:00,4
0.5.0,2024-02-17 00:00:00+00:00,4
0.5.0,2024-02-19 00:00:00+00:00,2
0.5.0,2024-02-20 00:00:00+00:00,4
0.5.0,2024-02-22 00:00:00+00:00,2
0.5.0,2024-02-23 00:00:00+00:00,2
0.5.0,2024-02-24 00:00:00+00:00,4
0.5.0,2024-02-25 00:00:00+00:00,2
0.5.0,2024-02-26 00:00:00+00:00,2
0.5.0,2024-02-27 00:00:00+00:00,2
0.5.0,2024-02-28 00:00:00+00:00,4
0.5.0,2024-02-29 00:00:00+00:00,1
0.5.0,2024-03-01 00:00:00+00:00,2
0.5.0,2024-03-03 00:00:00+00:00,2
0.5.0,2024-03-04 00:00:00+00:00,2
0.5.0,2024-03-05 00:00:00+00:00,2
0.4.0,2024-02-07 00:00:00+00:00,2
0.4.0,2024-02-08 00:00:00+00:00,4
0.4.0,2024-02-09 00:00:00+00:00,6
0.4.0,2024-02-11 00:00:00+00:00,2
0.4.0,2024-02-15 00:00:00+00:00,1
0.4.0,2024-02-16 00:00:00+00:00,4
0.4.0,2024-02-17 00:00:00+00:00,4
0.4.0,2024-02-19 00:00:00+00:00,2
0.4.0,2024-02-20 00:00:00+00:00,4
0.4.0,2024-02-22 00:00:00+00:00,2
0.4.0,2024-02-23 00:00:00+00:00,2
0.4.0,2024-02-24 00:00:00+00:00,4
0.4.0,2024-02-25 00:00:00+00:00,2
0.4.0,2024-02-26 00:00:00+00:00,2
0.4.0,2024-02-27 00:00:00+00:00,2
