date,count,unique
2024-05-16 00:00:00+00:00,1,1
2024-05-20 00:00:00+00:00,9,1
2024-05-21 00:00:00+00:00,14,3
2024-05-22 00:00:00+00:00,23,2
2024-05-24 00:00:00+00:00,2,2
2024-05-27 00:00:00+00:00,20,1
2024-05-28 00:00:00+00:00,30,2
2024-05-29 00:00:00+00:00,101,3
