version,date,num_downloads
0.7.1,2024-02-29 00:00:00+00:00,124
0.7.1,2024-03-01 00:00:00+00:00,15
0.7.1,2024-03-02 00:00:00+00:00,9
0.7.1,2024-03-03 00:00:00+00:00,14
0.7.1,2024-03-04 00:00:00+00:00,20
0.7.1,2024-03-05 00:00:00+00:00,11
0.7.1,2024-03-06 00:00:00+00:00,53
0.7.1,2024-03-07 00:00:00+00:00,23
0.7.1,2024-03-08 00:00:00+00:00,8
0.7.1,2024-03-09 00:00:00+00:00,8
0.7.1,2024-03-10 00:00:00+00:00,9
0.7.1,2024-03-11 00:00:00+00:00,11
0.7.1,2024-03-12 00:00:00+00:00,8
0.7.1,2024-03-13 00:00:00+00:00,2
0.7.1,2024-03-14 00:00:00+00:00,5
0.7.1,2024-03-15 00:00:00+00:00,28
0.7.1,2024-03-16 00:00:00+00:00,4
0.7.1,2024-03-17 00:00:00+00:00,6
0.7.1,2024-03-18 00:00:00+00:00,4465
0.7.1,2024-03-19 00:00:00+00:00,4142
0.7.1,2024-03-20 00:00:00+00:00,7
0.7.1,2024-03-21 00:00:00+00:00,79
0.7.0,2024-02-21 00:00:00+00:00,61
0.7.0,2024-02-22 00:00:00+00:00,16
0.7.0,2024-02-23 00:00:00+00:00,8
0.7.0,2024-02-24 00:00:00+00:00,5
0.7.0,2024-02-25 00:00:00+00:00,3
0.7.0,2024-02-26 00:00:00+00:00,8
0.7.0,2024-02-27 00:00:00+00:00,19
0.7.0,2024-02-28 00:00:00+00:00,62
0.7.0,2024-02-29 00:00:00+00:00,37
0.7.0,2024-03-01 00:00:00+00:00,11
0.7.0,2024-03-02 00:00:00+00:00,1
0.7.0,2024-03-03 00:00:00+00:00,2
0.7.0,2024-03-04 00:00:00+00:00,2
0.7.0,2024-03-05 00:00:00+00:00,8
0.7.0,2024-03-06 00:00:00+00:00,4
0.7.0,2024-03-07 00:00:00+00:00,11
0.7.0,2024-03-08 00:00:00+00:00,2
0.7.0,2024-03-10 00:00:00+00:00,3
0.7.0,2024-03-11 00:00:00+00:00,4
0.7.0,2024-03-12 00:00:00+00:00,26
0.7.0,2024-03-13 00:00:00+00:00,28
0.7.0,2024-03-14 00:00:00+00:00,12
0.7.0,2024-03-15 00:00:00+00:00,11
0.7.0,2024-03-16 00:00:00+00:00,2
0.7.0,2024-03-17 00:00:00+00:00,2
0.7.0,2024-03-18 00:00:00+00:00,6
0.7.0,2024-03-19 00:00:00+00:00,16
0.7.0,2024-03-20 00:00:00+00:00,24
0.7.0,2024-03-21 00:00:00+00:00,69
0.6.1,2024-02-22 00:00:00+00:00,27
0.6.1,2024-02-23 00:00:00+00:00,45
0.6.1,2024-02-24 00:00:00+00:00,4
0.6.1,2024-02-25 00:00:00+00:00,2
0.6.1,2024-02-26 00:00:00+00:00,61
0.6.1,2024-02-27 00:00:00+00:00,80
0.6.1,2024-02-28 00:00:00+00:00,108
0.6.1,2024-02-29 00:00:00+00:00,58
0.6.1,2024-03-01 00:00:00+00:00,4
0.6.1,2024-03-03 00:00:00+00:00,2
0.6.1,2024-03-04 00:00:00+00:00,15
0.6.1,2024-03-05 00:00:00+00:00,11
0.6.1,2024-03-06 00:00:00+00:00,16
0.6.1,2024-03-07 00:00:00+00:00,52
0.6.1,2024-03-08 00:00:00+00:00,12
0.6.1,2024-03-10 00:00:00+00:00,2
0.6.1,2024-03-12 00:00:00+00:00,30
0.6.1,2024-03-13 00:00:00+00:00,8
0.6.1,2024-03-14 00:00:00+00:00,4
0.6.1,2024-03-15 00:00:00+00:00,24
0.6.1,2024-03-16 00:00:00+00:00,2
0.6.1,2024-03-18 00:00:00+00:00,24
0.6.1,2024-03-19 00:00:00+00:00,54
0.6.1,2024-03-20 00:00:00+00:00,54
0.6.1,2024-03-21 00:00:00+00:00,88
0.6.0,2024-02-22 00:00:00+00:00,2
0.6.0,2024-02-23 00:00:00+00:00,12
0.6.0,2024-02-24 00:00:00+00:00,4
0.6.0,2024-02-25 00:00:00+00:00,2
0.6.0,2024-02-26 00:00:00+00:00,4
0.6.0,2024-02-27 00:00:00+00:00,2
0.6.0,2024-02-28 00:00:00+00:00,5
0.6.0,2024-02-29 00:00:00+00:00,1
0.6.0,2024-03-01 00:00:00+00:00,2
0.6.0,2024-03-03 00:00:00+00:00,2
0.6.0,2024-03-04 00:00:00+00:00,2
0.6.0,2024-03-05 00:00:00+00:00,2
0.6.0,2024-03-06 00:00:00+00:00,2
0.6.0,2024-03-08 00:00:00+00:00,2
0.6.0,2024-03-10 00:00:00+00:00,2
0.6.0,2024-03-12 00:00:00+00:00,2
0.6.0,2024-03-14 00:00:00+00:00,2
0.6.0,2024-03-15 00:00:00+00:00,8
0.6.0,2024-03-16 00:00:00+00:00,2
0.6.0,2024-03-19 00:00:00+00:00,7
0.6.0,2024-03-20 00:00:00+00:00,2
0.6.0,2024-03-21 00:00:00+00:00,2
0.5.0,2024-02-22 00:00:00+00:00,2
0.5.0,2024-02-23 00:00:00+00:00,2
0.5.0,2024-02-24 00:00:00+00:00,4
0.5.0,2024-02-25 00:00:00+00:00,2
0.5.0,2024-02-26 00:00:00+00:00,2
0.5.0,2024-02-27 00:00:00+00:00,2
0.5.0,2024-02-28 00:00:00+00:00,4
0.5.0,2024-02-29 00:00:00+00:00,1
0.5.0,2024-03-01 00:00:00+00:00,2
0.5.0,2024-03-03 00:00:00+00:00,2
0.5.0,2024-03-04 00:00:00+00:00,2
0.5.0,2024-03-05 00:00:00+00:00,2
0.5.0,2024-03-06 00:00:00+00:00,3
0.5.0,2024-03-08 00:00:00+00:00,2
0.5.0,2024-03-10 00:00:00+00:00,2
0.5.0,2024-03-12 00:00:00+00:00,2
0.5.0,2024-03-14 00:00:00+00:00,2
0.5.0,2024-03-15 00:00:00+00:00,8
0.5.0,2024-03-16 00:00:00+00:00,2
0.5.0,2024-03-19 00:00:00+00:00,12
0.5.0,2024-03-20 00:00:00+00:00,2
0.5.0,2024-03-21 00:00:00+00:00,2
0.4.0,2024-02-22 00:00:00+00:00,2
0.4.0,2024-02-23 00:00:00+00:00,2
0.4.0,2024-02-24 00:00:00+00:00,4
0.4.0,2024-02-25 00:00:00+00:00,2
0.4.0,2024-02-26 00:00:00+00:00,2
0.4.0,2024-02-27 00:00:00+00:00,2
