version,date,num_downloads
0.7.1,2024-03-01 00:00:00+00:00,5
0.7.1,2024-03-02 00:00:00+00:00,7
0.7.1,2024-03-03 00:00:00+00:00,2
0.7.1,2024-03-04 00:00:00+00:00,4
0.7.1,2024-03-05 00:00:00+00:00,5
0.7.1,2024-03-06 00:00:00+00:00,49
0.7.1,2024-03-07 00:00:00+00:00,15
0.7.1,2024-03-08 00:00:00+00:00,3
0.7.1,2024-03-09 00:00:00+00:00,4
0.7.1,2024-03-10 00:00:00+00:00,1
0.7.1,2024-03-11 00:00:00+00:00,9
0.7.1,2024-03-12 00:00:00+00:00,6
0.7.1,2024-03-13 00:00:00+00:00,2
0.7.1,2024-03-14 00:00:00+00:00,3
0.7.1,2024-03-15 00:00:00+00:00,20
0.7.1,2024-03-17 00:00:00+00:00,2
0.7.1,2024-03-18 00:00:00+00:00,4463
0.7.1,2024-03-19 00:00:00+00:00,4138
0.7.1,2024-03-20 00:00:00+00:00,3
0.7.1,2024-03-21 00:00:00+00:00,74
0.7.1,2024-03-22 00:00:00+00:00,37
0.7.1,2024-03-23 00:00:00+00:00,1
0.7.1,2024-03-25 00:00:00+00:00,12
0.7.1,2024-03-26 00:00:00+00:00,6
0.7.1,2024-03-27 00:00:00+00:00,1
0.7.1,2024-03-28 00:00:00+00:00,4
0.7.1,2024-03-29 00:00:00+00:00,3
0.7.0,2024-03-01 00:00:00+00:00,9
0.7.0,2024-03-02 00:00:00+00:00,1
0.7.0,2024-03-05 00:00:00+00:00,4
0.7.0,2024-03-07 00:00:00+00:00,11
0.7.0,2024-03-10 00:00:00+00:00,1
0.7.0,2024-03-11 00:00:00+00:00,4
0.7.0,2024-03-12 00:00:00+00:00,26
0.7.0,2024-03-13 00:00:00+00:00,28
0.7.0,2024-03-14 00:00:00+00:00,10
0.7.0,2024-03-15 00:00:00+00:00,3
0.7.0,2024-03-17 00:00:00+00:00,2
0.7.0,2024-03-18 00:00:00+00:00,4
0.7.0,2024-03-19 00:00:00+00:00,12
0.7.0,2024-03-20 00:00:00+00:00,22
0.7.0,2024-03-21 00:00:00+00:00,63
0.7.0,2024-03-22 00:00:00+00:00,23
0.7.0,2024-03-25 00:00:00+00:00,10
0.7.0,2024-03-26 00:00:00+00:00,17
0.7.0,2024-03-27 00:00:00+00:00,12
0.7.0,2024-03-28 00:00:00+00:00,51
0.7.0,2024-03-29 00:00:00+00:00,36
0.7.0,2024-03-30 00:00:00+00:00,1
0.6.1,2024-03-01 00:00:00+00:00,2
0.6.1,2024-03-04 00:00:00+00:00,13
0.6.1,2024-03-05 00:00:00+00:00,9
0.6.1,2024-03-06 00:00:00+00:00,12
0.6.1,2024-03-07 00:00:00+00:00,52
0.6.1,2024-03-08 00:00:00+00:00,10
0.6.1,2024-03-12 00:00:00+00:00,30
0.6.1,2024-03-13 00:00:00+00:00,8
0.6.1,2024-03-14 00:00:00+00:00,2
0.6.1,2024-03-15 00:00:00+00:00,16
0.6.1,2024-03-18 00:00:00+00:00,24
0.6.1,2024-03-19 00:00:00+00:00,52
0.6.1,2024-03-20 00:00:00+00:00,52
0.6.1,2024-03-21 00:00:00+00:00,84
0.6.1,2024-03-22 00:00:00+00:00,18
0.6.1,2024-03-25 00:00:00+00:00,43
0.6.1,2024-03-26 00:00:00+00:00,34
0.6.1,2024-03-27 00:00:00+00:00,16
0.6.1,2024-03-28 00:00:00+00:00,11
0.6.1,2024-03-29 00:00:00+00:00,80
0.6.0,2024-03-19 00:00:00+00:00,5
0.6.0,2024-03-22 00:00:00+00:00,8
0.6.0,2024-03-26 00:00:00+00:00,5
0.6.0,2024-03-28 00:00:00+00:00,3
0.5.0,2024-03-06 00:00:00+00:00,1
0.5.0,2024-03-19 00:00:00+00:00,10
0.5.0,2024-03-22 00:00:00+00:00,16
0.5.0,2024-03-26 00:00:00+00:00,9
0.5.0,2024-03-28 00:00:00+00:00,3
0.4.0,2024-03-28 00:00:00+00:00,3
0.3.0,2024-03-02 00:00:00+00:00,1
0.3.0,2024-03-25 00:00:00+00:00,1
0.3.0,2024-03-28 00:00:00+00:00,3
0.2.1,2024-03-28 00:00:00+00:00,3
0.2.0,2024-03-28 00:00:00+00:00,3
0.1.6,2024-03-28 00:00:00+00:00,3
0.1.5,2024-03-28 00:00:00+00:00,3
0.1.4,2024-03-28 00:00:00+00:00,3
0.1.3,2024-03-28 00:00:00+00:00,3
0.1.2,2024-03-25 00:00:00+00:00,1
0.1.2,2024-03-28 00:00:00+00:00,3
0.1.1,2024-03-26 00:00:00+00:00,1
0.1.0rc5,2024-03-25 00:00:00+00:00,1
