referrer,count,uniques
github.com,164,10
lakefs-spec.org,118,11
Google,60,8
pypi.org,36,3
lakefs.io,18,4
Bing,6,2
linkedin.com,5,4
randomgithubrepo.site,3,1
com.linkedin.android,1,1
com.google.android.gm,1,1
