date,count,unique
2024-04-05 00:00:00+00:00,2,2
2024-04-09 00:00:00+00:00,1,1
2024-04-12 00:00:00+00:00,1,1
2024-04-17 00:00:00+00:00,2,2
2024-04-18 00:00:00+00:00,1,1
