date,count,unique
2024-10-18 00:00:00+00:00,4,2
2024-10-20 00:00:00+00:00,8,2
2024-10-21 00:00:00+00:00,15,5
2024-10-22 00:00:00+00:00,3,2
2024-10-23 00:00:00+00:00,19,6
2024-10-24 00:00:00+00:00,20,8
2024-10-25 00:00:00+00:00,3,3
2024-10-26 00:00:00+00:00,9,3
2024-10-27 00:00:00+00:00,7,1
2024-10-28 00:00:00+00:00,10,4
2024-10-29 00:00:00+00:00,2,1
2024-10-30 00:00:00+00:00,1,1
2024-10-31 00:00:00+00:00,14,7
