version,date,num_downloads
0.3.0,2024-03-27 00:00:00+00:00,60
0.3.0,2024-03-28 00:00:00+00:00,9
0.2.0,2024-03-04 00:00:00+00:00,45
0.2.0,2024-03-05 00:00:00+00:00,5
0.2.0,2024-03-06 00:00:00+00:00,2
0.2.0,2024-03-07 00:00:00+00:00,1
0.2.0,2024-03-10 00:00:00+00:00,2
0.2.0,2024-03-12 00:00:00+00:00,2
0.2.0,2024-03-14 00:00:00+00:00,1
0.2.0,2024-03-16 00:00:00+00:00,5
0.2.0,2024-03-18 00:00:00+00:00,2
0.2.0,2024-03-23 00:00:00+00:00,1
0.2.0,2024-03-24 00:00:00+00:00,1
0.2.0,2024-03-27 00:00:00+00:00,1
0.1.0rc1,2024-02-28 00:00:00+00:00,1
0.1.0rc1,2024-02-29 00:00:00+00:00,2
0.1.0rc1,2024-03-01 00:00:00+00:00,2
0.1.0,2024-02-28 00:00:00+00:00,1
0.1.0,2024-02-29 00:00:00+00:00,2
0.1.0,2024-03-01 00:00:00+00:00,2
0.1.0,2024-03-02 00:00:00+00:00,2
0.1.0,2024-03-07 00:00:00+00:00,1
0.1.0,2024-03-13 00:00:00+00:00,1
